Fn[kN],Pt3[Pa],Tt3[K],W3[kg/s],Tt4[K],Wf[kg/s],WAS[kg/s]
9.520000000000000284e+01,2.173073909376000054e+06,7.400166666666665378e+02,3.814389177590167890e+01,1.509722222222222172e+03,4.368430966240750557e-01,1.022032665816215768e+00
9.240000000000000568e+01,2.119063117440000176e+06,7.349222222222222172e+02,3.736887365746063949e+01,1.496611111111111086e+03,4.279671980453819691e-01,9.827213410808594007e-01
8.959999999999999432e+01,2.065780412160000065e+06,7.296277777777777374e+02,3.661285598173287781e+01,1.482611111111111086e+03,4.193089021245630099e-01,9.431924136876289610e-01
8.690000000000000568e+01,2.012828655359999975e+06,7.242111111111109949e+02,3.586183842298607516e+01,1.468111111111111086e+03,4.107078700665473536e-01,9.038335206547744027e-01
8.409999999999999432e+01,1.960207847039999906e+06,7.186611111111110404e+02,3.511582098122023865e+01,1.453055555555555657e+03,4.021641018713354443e-01,8.647961941310819967e-01
8.129999999999999716e+01,1.907851797503999900e+06,7.129944444444445253e+02,3.437380363576072284e+01,1.437500000000000000e+03,3.936661447975347006e-01,8.260918868579442131e-01
7.850000000000000000e+01,1.855429558271999937e+06,7.072333333333332348e+02,3.362778619399487923e+01,1.421722222222222172e+03,3.851223766023225692e-01,7.879637532269699873e-01
7.579999999999999716e+01,1.802808749952000100e+06,7.014222222222222172e+02,3.286676840128616561e+01,1.406055555555555657e+03,1.127096122672644585e+00,1.670357378286207687e-20
7.300000000000000000e+01,1.750320321023999946e+06,6.954833333333332348e+02,3.210575060857743779e+01,1.389944444444444343e+03,1.081636478036748672e+00,1.670357378286207687e-20
7.020000000000000284e+01,1.697964271487999707e+06,6.894500000000000455e+02,3.134073272409832001e+01,1.373555555555555657e+03,1.036707195921604985e+00,1.670357378286207687e-20
6.740000000000000568e+01,1.645542032255999977e+06,6.832944444444444798e+02,3.057371478919807828e+01,1.356722222222222172e+03,9.921567441784271413e-01,1.670357378286207687e-20
6.470000000000000284e+01,1.592987413631999632e+06,6.770388888888888914e+02,2.979769665008240054e+01,1.339555555555555657e+03,9.480608888816082214e-01,1.670357378286207687e-20
6.189999999999999858e+01,1.540300415616000071e+06,6.706666666666665151e+02,2.901067824725831912e+01,1.322277777777777828e+03,9.045711621799343849e-01,1.670357378286207687e-20
5.910000000000000142e+01,1.487216279423999833e+06,6.641000000000001364e+02,2.820965952323783910e+01,1.304555555555555657e+03,8.614602658502263921e-01,1.670357378286207687e-20
5.629999999999999716e+01,1.433999763839999912e+06,6.573666666666666742e+02,2.740464069837511829e+01,1.286333333333333258e+03,8.188039659668775450e-01,1.670357378286207687e-20
5.360000000000000142e+01,1.381114196735999547e+06,6.505333333333333030e+02,2.659762183216312081e+01,1.267666666666666742e+03,7.768295607530670832e-01,1.670357378286207687e-20
5.079999999999999716e+01,1.328427198719999520e+06,6.435722222222221944e+02,2.578860292006591948e+01,1.248500000000000000e+03,7.353855180600085140e-01,1.670357378286207687e-20
4.800000000000000000e+01,1.275607821312000044e+06,6.363611111111110858e+02,2.497458388645183902e+01,1.228388888888888914e+03,6.941687735901297396e-01,1.670357378286207687e-20
4.520000000000000284e+01,1.222656064511999488e+06,6.289499999999999318e+02,2.415356469450751931e+01,1.207777777777777828e+03,6.535581577153961597e-01,1.670357378286207687e-20
4.250000000000000000e+01,1.169638118015999906e+06,6.211833333333333940e+02,2.332554533516112016e+01,1.186166666666666742e+03,6.133263722126283124e-01,1.670357378286207687e-20
3.970000000000000284e+01,1.116487792127999943e+06,6.132666666666667652e+02,2.248352565008239878e+01,1.164277777777777828e+03,5.740037796025784234e-01,1.670357378286207687e-20
3.689999999999999858e+01,1.063271276543999556e+06,6.050333333333333030e+02,2.163850589390791868e+01,1.141277777777777828e+03,5.350600173644942670e-01,1.670357378286207687e-20
3.410000000000000142e+01,1.010518088832000038e+06,5.964611111111112223e+02,2.079548618361863888e+01,1.117111111111111086e+03,4.967223837215553051e-01,1.670357378286207687e-20
3.139999999999999858e+01,9.582282289919998730e+05,5.875777777777778965e+02,1.995646656963567978e+01,1.091888888888888914e+03,4.592939429713343569e-01,1.670357378286207687e-20
2.860000000000000142e+01,9.063355073280000361e+05,5.783277777777777828e+02,1.912444711398295993e+01,1.064888888888888914e+03,4.222443325930793079e-01,1.670357378286207687e-20
2.580000000000000071e+01,8.547075444479997968e+05,5.687722222222222399e+02,1.828942759177040145e+01,1.036722222222222172e+03,3.861039151075421616e-01,1.670357378286207687e-20
2.310000000000000142e+01,8.036752888319999911e+05,5.589611111111111086e+02,1.745840816586416011e+01,1.007166666666666629e+03,3.507969244403296161e-01,1.670357378286207687e-20
2.030000000000000071e+01,7.490687896319997963e+05,5.480499999999999545e+02,1.655538705180335768e+01,9.741666666666666288e+02,3.140503783596471643e-01,1.670357378286207687e-20
1.750000000000000000e+01,6.951241873919999925e+05,5.368277777777777828e+02,1.565236594227848066e+01,9.398888888888889142e+02,2.787433876924347298e-01,1.670357378286207687e-20
1.469999999999999929e+01,6.416429130240000086e+05,5.251666666666665151e+02,1.474234466535152066e+01,9.040000000000000000e+02,2.448759524386923403e-01,1.670357378286207687e-20
1.200000000000000000e+01,5.876321210880000144e+05,5.127166666666665833e+02,1.380032264065360081e+01,8.665555555555555429e+02,2.124480725984199125e-01,1.670357378286207687e-20
9.199999999999999289e+00,5.350113127680000616e+05,4.999388888888888687e+02,1.286130068705143970e+01,8.282777777777778283e+02,1.821416428411560540e-01,1.670357378286207687e-20
6.400000000000000355e+00,4.855014201599999797e+05,4.872333333333332916e+02,1.195627952710544051e+01,7.903888888888889142e+02,1.550931542827980181e-01,1.670357378286207687e-20
